"simID","Us","tc"
39,0.549557756948412,76
39,0.796106936020873,95.5
39,0.9,152
40,0.426832079125435,0
40,0.670706356401922,76
40,0.891106507631432,95.5
40,0.9,152
41,0.463588139323405,0
41,0.711477296558458,76
41,0.9,95.5
41,0.9,152
42,0.506151984578658,0
42,0.755469827391196,76
42,0.9,95.5
42,0.9,152
43,0.382946053663073,0
43,0.618498724932891,76
43,0.853888611270834,95.5
43,0.9,152
44,0.308064485606843,0
44,0.52027407569993,76
44,0.768795047086945,95.5
44,0.9,152
45,0.368662698689977,0
45,0.600374351729557,76
45,0.839443490640581,95.5
45,0.9,152
46,0.295832598075999,0
46,0.503218766741889,76
46,0.752100844824111,95.5
46,0.9,152
47,0.458947842284597,0
47,0.706622625230753,76
47,0.9,95.5
47,0.9,152
48,0.424621500522154,0
48,0.668168447780541,76
48,0.88942329907582,95.5
48,0.9,152
49,0.424806690348141,0
49,0.668381433372469,76
49,0.889565051980983,95.5
49,0.9,152
50,0.352331735088085,0
50,0.579507374172537,76
50,0.822271498623093,95.5
50,0.9,152
51,0.439917510143524,0
51,0.685672671739749,76
51,0.9,95.5
51,0.9,152
52,0.433848442526908,0
52,0.678839468951875,76
52,0.896494991767598,95.5
52,0.9,152
53,0.246767413257864,0
53,0.43181145315081,76
53,0.675919338006018,95.5
53,0.9,152
54,0.461320624623137,0
54,0.709040057309847,76
54,0.9,95.5
54,0.9,152
55,0.479614028347193,0
55,0.728555178167782,76
55,0.9,95.5
55,0.9,152
56,0.442291188668363,0
56,0.688325223033351,76
56,0.9,95.5
56,0.9,152
57,0.45561909965587,0
57,0.703010238910029,76
57,0.9,95.5
57,0.9,152
58,0.306538273484503,0
58,0.518162296134612,76
58,0.766759407320484,95.5
58,0.9,152
59,0.492890033792988,0
59,0.742195242784962,76
59,0.9,95.5
59,0.9,152
60,0.426619597187355,0
60,0.67060458354008,76
60,0.891123614108398,95.5
60,0.9,152
61,0.350014777955214,0
61,0.576503855417194,76
61,0.819728285226236,95.5
61,0.9,152
62,0.318304257033321,0
62,0.534322633220077,76
62,0.782110927463767,95.5
62,0.9,152
63,0.354909026551702,0
63,0.58283581184468,76
63,0.825068809503138,95.5
63,0.9,152
64,0.263426728043362,0
64,0.456594145082112,76
64,0.703508163092171,95.5
64,0.9,152
65,0.440498447458047,0
65,0.686180066545354,76
65,0.9,95.5
65,0.9,152
66,0.366687315413868,0
66,0.597878526593365,76
66,0.837435368654478,95.5
66,0.9,152
67,0.246767413244293,0
67,0.431811453144198,76
67,0.675919338005221,95.5
67,0.9,152
